,Survey,List,Participant,Nativeness,Age,Gender,Education,ItemID,Response,Scenario,Suspect,EStrength,ItemType,Condition,Item,ItemC,CorrectControl,Fillertype,EvidenceType,Evident
25,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item5a,believe,Briefing,EB,strong,Item,a,5,5 sB,NA,No,statement,61
26,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item6b,believe,Briefing,EB,weak,Item,b,6,6 wB,NA,No,document,50
27,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item7a,know,Briefing,EB,strong,Item,a,7,7 sB,NA,No,picture,100
28,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item8b,believe,Briefing,EB,weak,Item,b,8,8 wB,NA,No,document,61
29,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item9a,believe,Briefing,EB,strong,Item,a,9,9 sB,NA,No,statement,58
30,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item10b,believe,Briefing,EB,weak,Item,b,10,10 wB,NA,No,document,61
31,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item11a,know,Interrogation,JS,strong,Item,c,11,11 sI,NA,No,document,100
32,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item12b,believe,Interrogation,JS,weak,Item,d,12,12 wI,NA,No,document,50
33,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item13a,know,Interrogation,JS,strong,Item,c,13,13 sI,NA,No,document,100
34,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item14b,believe,Interrogation,JS,weak,Item,d,14,14 wI,NA,No,statement,56
35,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item15a,know,Interrogation,JS,strong,Item,c,15,15 sI,NA,No,document,100
36,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item16b,believe,Interrogation,JS,weak,Item,d,16,16 wI,NA,No,statement,50
37,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item17a,know,Interrogation,JS,strong,Item,c,17,17 sI,NA,No,statement,100
38,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item18b,believe,Interrogation,JS,weak,Item,d,18,18 wI,NA,No,document,58
39,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item19a,know,Interrogation,JS,strong,Item,c,19,19 sI,NA,No,picture,100
40,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item20b,believe,Interrogation,JS,weak,Item,d,20,20 wI,NA,No,document,50
41,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item1a,believe,Briefing,EB,strong,Item,a,1,1 sB,NA,No,document,60
42,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item2b,believe,Briefing,EB,weak,Item,b,2,2 wB,NA,No,statement,66
43,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item3a,know,Briefing,EB,strong,Item,a,3,3 sB,NA,No,picture,99
44,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item4b,believe,Briefing,EB,weak,Item,b,4,4 wB,NA,No,document,1
45,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item5a,believe,Briefing,EB,strong,Item,a,5,5 sB,NA,No,statement,60
46,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item6b,believe,Briefing,EB,weak,Item,b,6,6 wB,NA,No,document,30
47,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item7a,know,Briefing,EB,strong,Item,a,7,7 sB,NA,No,picture,99
48,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item8b,believe,Briefing,EB,weak,Item,b,8,8 wB,NA,No,document,10
49,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item9a,know,Briefing,EB,strong,Item,a,9,9 sB,NA,No,statement,88
50,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item10b,believe,Briefing,EB,weak,Item,b,10,10 wB,NA,No,document,50
51,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item11a,know,Interrogation,JS,strong,Item,c,11,11 sI,NA,No,document,55
52,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item12b,believe,Interrogation,JS,weak,Item,d,12,12 wI,NA,No,document,20
53,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item13a,know,Interrogation,JS,strong,Item,c,13,13 sI,NA,No,document,99
54,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item14b,believe,Interrogation,JS,weak,Item,d,14,14 wI,NA,No,statement,50
55,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item15a,believe,Interrogation,JS,strong,Item,c,15,15 sI,NA,No,document,99
56,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item16b,believe,Interrogation,JS,weak,Item,d,16,16 wI,NA,No,statement,1
57,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item17a,know,Interrogation,JS,strong,Item,c,17,17 sI,NA,No,statement,100
58,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item18b,believe,Interrogation,JS,weak,Item,d,18,18 wI,NA,No,document,54
59,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item19a,know,Interrogation,JS,strong,Item,c,19,19 sI,NA,No,picture,99
60,Survey1,1,Survey1_11,British English,18,he/him,Secondary School,Item20b,believe,Interrogation,JS,weak,Item,d,20,20 wI,NA,No,document,1
61,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item1a,believe,Briefing,EB,strong,Item,a,1,1 sB,NA,No,document,85
62,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item2b,believe,Briefing,EB,weak,Item,b,2,2 wB,NA,No,statement,91
63,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item3a,know,Briefing,EB,strong,Item,a,3,3 sB,NA,No,picture,40
64,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item4b,believe,Briefing,EB,weak,Item,b,4,4 wB,NA,No,document,40
65,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item5a,believe,Briefing,EB,strong,Item,a,5,5 sB,NA,No,statement,75
67,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item7a,believe,Briefing,EB,strong,Item,a,7,7 sB,NA,No,picture,60
68,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item8b,believe,Briefing,EB,weak,Item,b,8,8 wB,NA,No,document,40
69,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item9a,believe,Briefing,EB,strong,Item,a,9,9 sB,NA,No,statement,60
70,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item10b,believe,Briefing,EB,weak,Item,b,10,10 wB,NA,No,document,60
71,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item11a,know,Interrogation,JS,strong,Item,c,11,11 sI,NA,No,document,80
72,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item12b,believe,Interrogation,JS,weak,Item,d,12,12 wI,NA,No,document,40
73,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item13a,believe,Interrogation,JS,strong,Item,c,13,13 sI,NA,No,document,100
74,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item14b,believe,Interrogation,JS,weak,Item,d,14,14 wI,NA,No,statement,40
75,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item15a,believe,Interrogation,JS,strong,Item,c,15,15 sI,NA,No,document,100
76,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item16b,believe,Interrogation,JS,weak,Item,d,16,16 wI,NA,No,statement,30
77,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item17a,know,Interrogation,JS,strong,Item,c,17,17 sI,NA,No,statement,90
78,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item18b,believe,Interrogation,JS,weak,Item,d,18,18 wI,NA,No,document,30
79,Survey1,1,Survey1_12,British English,28,she/her,Bachelor Degree,Item19a,know,Interrogation,JS,strong,Item,c,19,19 sI,NA,No,picture,100
81,Survey1,1,Survey1_13,British English,24,she/her,NA,Item1a,know,Briefing,EB,strong,Item,a,1,1 sB,NA,No,document,100
82,Survey1,1,Survey1_13,British English,24,she/her,NA,Item2b,know,Briefing,EB,weak,Item,b,2,2 wB,NA,No,statement,85
83,Survey1,1,Survey1_13,British English,24,she/her,NA,Item3a,believe,Briefing,EB,strong,Item,a,3,3 sB,NA,No,picture,54
84,Survey1,1,Survey1_13,British English,24,she/her,NA,Item4b,know,Briefing,EB,weak,Item,b,4,4 wB,NA,No,document,100
85,Survey1,1,Survey1_13,British English,24,she/her,NA,Item5a,know,Briefing,EB,strong,Item,a,5,5 sB,NA,No,statement,100
86,Survey1,1,Survey1_13,British English,24,she/her,NA,Item6b,believe,Briefing,EB,weak,Item,b,6,6 wB,NA,No,document,93
87,Survey1,1,Survey1_13,British English,24,she/her,NA,Item7a,believe,Briefing,EB,strong,Item,a,7,7 sB,NA,No,picture,88
88,Survey1,1,Survey1_13,British English,24,she/her,NA,Item8b,believe,Briefing,EB,weak,Item,b,8,8 wB,NA,No,document,100
89,Survey1,1,Survey1_13,British English,24,she/her,NA,Item9a,believe,Briefing,EB,strong,Item,a,9,9 sB,NA,No,statement,100
90,Survey1,1,Survey1_13,British English,24,she/her,NA,Item10b,know,Briefing,EB,weak,Item,b,10,10 wB,NA,No,document,92
91,Survey1,1,Survey1_13,British English,24,she/her,NA,Item11a,know,Interrogation,JS,strong,Item,c,11,11 sI,NA,No,document,100
92,Survey1,1,Survey1_13,British English,24,she/her,NA,Item12b,believe,Interrogation,JS,weak,Item,d,12,12 wI,NA,No,document,100
93,Survey1,1,Survey1_13,British English,24,she/her,NA,Item13a,know,Interrogation,JS,strong,Item,c,13,13 sI,NA,No,document,100
94,Survey1,1,Survey1_13,British English,24,she/her,NA,Item14b,believe,Interrogation,JS,weak,Item,d,14,14 wI,NA,No,statement,81
95,Survey1,1,Survey1_13,British English,24,she/her,NA,Item15a,believe,Interrogation,JS,strong,Item,c,15,15 sI,NA,No,document,100
96,Survey1,1,Survey1_13,British English,24,she/her,NA,Item16b,believe,Interrogation,JS,weak,Item,d,16,16 wI,NA,No,statement,74
97,Survey1,1,Survey1_13,British English,24,she/her,NA,Item17a,know,Interrogation,JS,strong,Item,c,17,17 sI,NA,No,statement,100
98,Survey1,1,Survey1_13,British English,24,she/her,NA,Item18b,believe,Interrogation,JS,weak,Item,d,18,18 wI,NA,No,document,90
99,Survey1,1,Survey1_13,British English,24,she/her,NA,Item19a,know,Interrogation,JS,strong,Item,c,19,19 sI,NA,No,picture,100
101,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item1a,know,Briefing,EB,strong,Item,a,1,1 sB,NA,No,document,100
102,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item2b,know,Briefing,EB,weak,Item,b,2,2 wB,NA,No,statement,100
103,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item3a,know,Briefing,EB,strong,Item,a,3,3 sB,NA,No,picture,100
104,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item4b,know,Briefing,EB,weak,Item,b,4,4 wB,NA,No,document,99
105,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item5a,know,Briefing,EB,strong,Item,a,5,5 sB,NA,No,statement,96
106,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item6b,believe,Briefing,EB,weak,Item,b,6,6 wB,NA,No,document,50
107,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item7a,know,Briefing,EB,strong,Item,a,7,7 sB,NA,No,picture,82
108,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item8b,believe,Briefing,EB,weak,Item,b,8,8 wB,NA,No,document,18
109,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item9a,know,Briefing,EB,strong,Item,a,9,9 sB,NA,No,statement,88
110,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item10b,believe,Briefing,EB,weak,Item,b,10,10 wB,NA,No,document,18
111,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item11a,believe,Interrogation,JS,strong,Item,c,11,11 sI,NA,No,document,100
112,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item12b,believe,Interrogation,JS,weak,Item,d,12,12 wI,NA,No,document,17
113,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item13a,believe,Interrogation,JS,strong,Item,c,13,13 sI,NA,No,document,100
114,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item14b,believe,Interrogation,JS,weak,Item,d,14,14 wI,NA,No,statement,77
115,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item15a,know,Interrogation,JS,strong,Item,c,15,15 sI,NA,No,document,100
116,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item16b,know,Interrogation,JS,weak,Item,d,16,16 wI,NA,No,statement,60
117,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item17a,know,Interrogation,JS,strong,Item,c,17,17 sI,NA,No,statement,100
118,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item18b,believe,Interrogation,JS,weak,Item,d,18,18 wI,NA,No,document,19
119,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item19a,know,Interrogation,JS,strong,Item,c,19,19 sI,NA,No,picture,100
120,Survey1,1,Survey1_14,British English,32,he/him,Bachelor Degree,Item20b,believe,Interrogation,JS,weak,Item,d,20,20 wI,NA,No,document,16
122,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item2a,believe,Briefing,EB,strong,Item,a,2,2 sB,NA,No,picture,89
123,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item3b,believe,Briefing,EB,weak,Item,b,3,3 wB,NA,No,document,75
125,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item5b,believe,Briefing,EB,weak,Item,b,5,5 wB,NA,No,document,57
126,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item6a,know,Briefing,EB,strong,Item,a,6,6 sB,NA,No,picture,83
127,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item7b,believe,Briefing,EB,weak,Item,b,7,7 wB,NA,No,statement,53
128,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item8a,know,Briefing,EB,strong,Item,a,8,8 sB,NA,No,document,89
129,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item9b,believe,Briefing,EB,weak,Item,b,9,9 wB,NA,No,picture,55
131,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item11b,believe,Interrogation,JS,weak,Item,d,11,11 wI,NA,No,statement,47
132,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item12a,believe,Interrogation,JS,strong,Item,c,12,12 sI,NA,No,document,78
133,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item13b,believe,Interrogation,JS,weak,Item,d,13,13 wI,NA,No,statement,20
135,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item15b,believe,Interrogation,JS,weak,Item,d,15,15 wI,NA,No,document,59
136,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item16a,believe,Interrogation,JS,strong,Item,c,16,16 sI,NA,No,document,91
137,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item17b,believe,Interrogation,JS,weak,Item,d,17,17 wI,NA,No,document,40
138,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item18a,believe,Interrogation,JS,strong,Item,c,18,18 sI,NA,No,statement,60
139,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item19b,believe,Interrogation,JS,weak,Item,d,19,19 wI,NA,No,statement,46
140,Survey1,2,Survey1_15,British English,32,she/her,Bachelor Degree,Item20a,know,Interrogation,JS,strong,Item,c,20,20 sI,NA,No,document,95
142,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item2a,believe,Briefing,EB,strong,Item,a,2,2 sB,NA,No,picture,100
143,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item3b,know,Briefing,EB,weak,Item,b,3,3 wB,NA,No,document,80
144,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item4a,know,Briefing,EB,strong,Item,a,4,4 sB,NA,No,picture,80
145,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item5b,know,Briefing,EB,weak,Item,b,5,5 wB,NA,No,document,80
146,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item6a,believe,Briefing,EB,strong,Item,a,6,6 sB,NA,No,picture,88
147,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item7b,believe,Briefing,EB,weak,Item,b,7,7 wB,NA,No,statement,60
148,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item8a,know,Briefing,EB,strong,Item,a,8,8 sB,NA,No,document,100
149,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item9b,believe,Briefing,EB,weak,Item,b,9,9 wB,NA,No,picture,60
150,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item10a,know,Briefing,EB,strong,Item,a,10,10 sB,NA,No,statement,100
151,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item11b,believe,Interrogation,JS,weak,Item,d,11,11 wI,NA,No,statement,61
152,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item12a,know,Interrogation,JS,strong,Item,c,12,12 sI,NA,No,document,90
153,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item13b,believe,Interrogation,JS,weak,Item,d,13,13 wI,NA,No,statement,41
154,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item14a,know,Interrogation,JS,strong,Item,c,14,14 sI,NA,No,picture,84
155,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item15b,believe,Interrogation,JS,weak,Item,d,15,15 wI,NA,No,document,94
156,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item16a,believe,Interrogation,JS,strong,Item,c,16,16 sI,NA,No,document,90
157,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item17b,know,Interrogation,JS,weak,Item,d,17,17 wI,NA,No,document,21
158,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item18a,know,Interrogation,JS,strong,Item,c,18,18 sI,NA,No,statement,92
159,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item19b,know,Interrogation,JS,weak,Item,d,19,19 wI,NA,No,statement,40
160,Survey1,2,Survey1_16,British English,27,she/her,Master Degree,Item20a,know,Interrogation,JS,strong,Item,c,20,20 sI,NA,No,document,100
161,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item1a,believe,Briefing,EB,strong,Item,a,1,1 sB,NA,No,document,64
162,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item2b,believe,Briefing,EB,weak,Item,b,2,2 wB,NA,No,statement,82
163,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item3a,know,Briefing,EB,strong,Item,a,3,3 sB,NA,No,picture,100
164,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item4b,believe,Briefing,EB,weak,Item,b,4,4 wB,NA,No,document,50
165,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item5a,believe,Briefing,EB,strong,Item,a,5,5 sB,NA,No,statement,78
166,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item6b,believe,Briefing,EB,weak,Item,b,6,6 wB,NA,No,document,20
168,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item8b,believe,Briefing,EB,weak,Item,b,8,8 wB,NA,No,document,62
170,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item10b,believe,Briefing,EB,weak,Item,b,10,10 wB,NA,No,document,61
171,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item11a,know,Interrogation,JS,strong,Item,c,11,11 sI,NA,No,document,100
172,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item12b,believe,Interrogation,JS,weak,Item,d,12,12 wI,NA,No,document,100
173,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item13a,believe,Interrogation,JS,strong,Item,c,13,13 sI,NA,No,document,100
174,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item14b,believe,Interrogation,JS,weak,Item,d,14,14 wI,NA,No,statement,64
175,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item15a,believe,Interrogation,JS,strong,Item,c,15,15 sI,NA,No,document,100
176,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item16b,believe,Interrogation,JS,weak,Item,d,16,16 wI,NA,No,statement,49
177,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item17a,believe,Interrogation,JS,strong,Item,c,17,17 sI,NA,No,statement,100
178,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item18b,believe,Interrogation,JS,weak,Item,d,18,18 wI,NA,No,document,9
179,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item19a,believe,Interrogation,JS,strong,Item,c,19,19 sI,NA,No,picture,100
180,Survey1,1,Survey1_17,British English,28,he/him,Master Degree,Item20b,believe,Interrogation,JS,weak,Item,d,20,20 wI,NA,No,document,83
181,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item1b,know,Briefing,EB,weak,Item,b,1,1 wB,NA,No,statement,72
182,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item2a,believe,Briefing,EB,strong,Item,a,2,2 sB,NA,No,picture,71
183,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item3b,know,Briefing,EB,weak,Item,b,3,3 wB,NA,No,document,55
185,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item5b,know,Briefing,EB,weak,Item,b,5,5 wB,NA,No,document,95
186,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item6a,know,Briefing,EB,strong,Item,a,6,6 sB,NA,No,picture,3
187,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item7b,believe,Briefing,EB,weak,Item,b,7,7 wB,NA,No,statement,11
188,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item8a,believe,Briefing,EB,strong,Item,a,8,8 sB,NA,No,document,80
190,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item10a,know,Briefing,EB,strong,Item,a,10,10 sB,NA,No,statement,100
191,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item11b,believe,Interrogation,JS,weak,Item,d,11,11 wI,NA,No,statement,70
192,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item12a,know,Interrogation,JS,strong,Item,c,12,12 sI,NA,No,document,92
193,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item13b,believe,Interrogation,JS,weak,Item,d,13,13 wI,NA,No,statement,20
194,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item14a,believe,Interrogation,JS,strong,Item,c,14,14 sI,NA,No,picture,6
195,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item15b,believe,Interrogation,JS,weak,Item,d,15,15 wI,NA,No,document,28
196,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item16a,believe,Interrogation,JS,strong,Item,c,16,16 sI,NA,No,document,75
197,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item17b,know,Interrogation,JS,weak,Item,d,17,17 wI,NA,No,document,41
198,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item18a,know,Interrogation,JS,strong,Item,c,18,18 sI,NA,No,statement,66
199,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item19b,believe,Interrogation,JS,weak,Item,d,19,19 wI,NA,No,statement,0
200,Survey1,2,Survey1_18,British English,37,she/her,Primary School,Item20a,know,Interrogation,JS,strong,Item,c,20,20 sI,NA,No,document,100
201,Survey1,2,Survey1_19,British English,18,she/her,Secondary School,Item1b,believe,Briefing,EB,weak,Item,b,1,1 wB,NA,No,statement,45
202,Survey1,2,Survey1_19,British English,18,she/her,Secondary School,Item2a,believe,Briefing,EB,strong,Item,a,2,2 sB,NA,No,picture,90
203,Survey1,2,Survey1_19,British English,18,she/her,Secondary School,Item3b,believe,Briefing,EB,weak,Item,b,3,3 wB,NA,No,document,80
